Grantor,Grantee,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Maryland Department of Education/ASSIST TO STATE FOR ED STUDENTS W/DISABI,COORDINATING CENTER,21108,2014,107027,IDEA PART C - INFANTS & TODDLERS,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Transportation - Section 5310 Capital Equipment,Delmarva Community Services,21613 - 0637,2015,160493,LOTS-Capital,Grant,1,06/30/2015 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","The Cricket Center, Inc.",21811,2016,32173,Victims of Crime Act,Grant,1,06/30/2016 12:00:00 AM
Judiciary/Department of Family Administration,"The Women's Law Center of Maryland, Inc.",21204,2013,58600,Info & referrals for Pro Se Litigants,Grant,1,06/30/2013 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Health Promotion Administration,Greater Baden Medical Center,20772,2016,102345,Testing and Linkage HIV Care,Grant,1,06/30/2016 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"Conflict Resolution Center of Baltimore County, Inc.",21221,2015,20245.87,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2015 12:00:00 AM
Department of Commerce - Maryland Cyber Investment Fund,Efflux Systems,21108,2015,100000,Commercialization Investment,Loan,1,06/30/2015 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Fisher Law Group,20772,2013,200000,Brown - Savage River SF Conservation Easement,Grant,1,06/30/2013 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"HopeWorks of Howard County, Inc.",21045,2015,89872.15,Sexual Assault Rape Crisis,Grant,1,06/30/2015 12:00:00 AM
Department of Human Services/Child Welfare Services,ADOPTIONS TOGETHER,20705,2017,500000,Funds are used to provide adoption services to place foster care children with families that are seeking to adopt children.,Grant,1,06/30/2017 12:00:00 AM
State Department of Education/Division of Rehabilitation Services - Client Services,WESTERN MARYLAND CONSORTIUM,217410980,2016,142952,Rehabilitation Services - Vocational Rehabilitation Grants to States,Grant,1,06/30/2016 12:00:00 AM
Department of Business and Economic Development/Maryland Tourism Development Board,Tourism Council of Frederick County,21701,2009,143815,County Cooperative Marketing Grant Program',Grant,1,06/30/2009 12:00:00 AM
Department of Human Resources/Local Child Welfare Services,"Family League of Baltimore City, Inc.",21218,2010,1600000,"Funds are used for the Family Preservation Program to shorten the length of stay for foster care of children between the age of zero and 5 years  who are placed in out-of-home  care for the first time.  Parents are provided with intensive case management and support services, substance abuse treatment. Frequent oversight is provided by the Juvenile Court",Grant,1,06/30/2010 12:00:00 AM
Facilities and Capital Equipment,COACH & EQUIP / LOWER SHORE ENTERPR,21801-1761,2018,189902.4,COACH & EQUIP - SMALL BUS,Grant,1,06/30/2018 12:00:00 AM
Marketing Spay and Neuter Program,BALTIMORE ANIMAL RESCUE AND CARE SHELTER (BARCS),21230,2018,75000,GRANTS TO NON-GOV ENTITIES,Grant,1,06/30/2018 12:00:00 AM
Maryland Community Health Resources Commission,La Clinica del Pueblo,20009,2018,180000,Expand access to health care in underserved communities,Grant,1,06/30/2018 12:00:00 AM
Department of Natural Resources/RURAL LEGACY,Eastern Shore Land Conservancy,21658,2010,201699.19,Hutchison Bros (West) Easement,Grant,1,06/30/2010 12:00:00 AM
Governor's Office of Community Initiatives/AmeriCorps Formula,AmeriCorps Langley Park,20009,2017,127627,AmeriCorps State Service funding,Grant,1,06/30/2017 12:00:00 AM
Department of Health and Mental Hygiene/Office of Preparedness and Response,Mid Atlantic Association for Community Health Centers,20706,2012,145000,Emergency Preparedness & Response Planning Activities,Grant,1,06/30/2012 12:00:00 AM
Department of Transportation/Highway Safety Operating,METRO WASH COUNCIL OF GOVTS,20002-4290,2011,126873,HIGH VISIBILITY ENFORCEMENT,Grant,1,06/30/2011 12:00:00 AM
Department Of Business and Economic Development/Maryland Enterprise Investment/Challenge Programs  and Fund,BAMBECO LLC,21225,2014,2300000,Enterprise Investments - InvestMD,Loan,1,06/30/2014 12:00:00 AM
Department of Human Resources/Family Investment Administration,TRAINING SOURCE,20743,2016,132237.81,"Funds are used to provide Food Supplement Outreach Programs that provides monthly benefits to eligible low-income individuals and families to help them purchase food, provide nutritional education, pre-screening, application assistance and follow-up.",Grant,1,06/30/2016 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,Walden Sierra Inc,20659,2012,70000,Access to behavioral health to low-income and uninsured patients in Southern MDA,Grant,1,06/30/2012 12:00:00 AM
Department of Transportation/Highway Safety Operating Program,MADD,21046,2009,63976,Alcohol Traffic Safety,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,DORCHESTER SOIL CONSERV DIST,21613,2017,249128,District Operations,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"Fusion Partnerships, Inc.",21202,2015,8750,Sexual Assault Rape Crisis,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/Division of Early Childhood Development,CHESAPEAKE COLLEGE,21679,2012,156000,PROGRAM DEVELOPMENT,Grant,1,06/30/2012 12:00:00 AM
Department of Housing and Community Development/Foreclosure Mediation,Public Justice Center Inc,21201,2017,125000,Foreclosure Mediation,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/COVER CROP,LIPPY BROTHERS FARMS ST,21074,2014,179402.78,Cover Crop Program Grant,Grant,1,06/30/2014 12:00:00 AM
Military Department/Maryland Emergency Management Agency,Hollywood RS,20636,2014,194438,VOLUNTEER CO. ASSISTANCE PROGRAM,Loan,1,06/30/2014 12:00:00 AM
MD STATE ARTS COUNCIL,ROUND HOUSE THEATRE INC,20824,2018,232721,MD State Arts Council Grants for Organizations (Operating support),Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Aging/VEIP,Human  Resources  Development Commission of Allegany County,21502,2017,8691,Vulnerable Elderly,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"House of Ruth Maryland, Inc.",21218,2015,461214.44,Family Violence Prevention and Services Act Formula Grants,Grant,1,06/30/2015 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"Family Crisis Resource Center, Inc.",21502,2015,69193.29,Sexual Assault Rape Crisis,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"TURNER FARMS, INC.",21632,2011,50840,COVER CROP,Grant,1,06/30/2011 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Family Crisis Center, Inc. of Prince George's County",20722,2009,74559.68,Domestic Violence Legal Advocacy Program,Grant,1,06/30/2009 12:00:00 AM
Department of Commerce - MD Stem Cell Research Fund,Hugo Moser Kennedy Krieger Research Institute,21205,2015,437000,Stem Cell Research Grant,Grant,1,06/30/2015 12:00:00 AM
Maryland Energy Administration/MEEHA - Multifamily,Glibert Highlands,20904-1938,2011,52500,Building retrofits,Grant,1,06/30/2011 12:00:00 AM
Judiciary/Mediation & Conflict Resolution Office,Community Mediation Center of Calvert County,20688,2017,60000,Community Mediation Performance Funding at Level 3,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration/Commercial Renewable Grants,MW-Chesapeake College,21679-0008,2012,75000,Wind,Grant,1,06/30/2012 12:00:00 AM
Maryland Community Health Resources Commission,Frederick Memorial Hospital,21701,2018,50000,Expand access to health care in underserved communities,Grant,1,06/30/2018 12:00:00 AM
Boards and Commissions/Lethality Assessment,"Family Crisis Center, Inc. of Prince George's County",20722,2014,132365.67,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/Food Services Program,ARCHDIOCESE OF BALTIMORE CHILD NUTRITION OFFICE,21227,2012,39753.84,SECTION 11 - SCHOOL LUNCH,Grant,1,06/30/2012 12:00:00 AM
State Department of Education/Division of Early Childhood Development,MONTGOMERY COLLEGE,208501733,2016,81975,Child Care and Development Fund (CCDF) - Block Grant,Grant,1,06/30/2016 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,The Manor Conservancy,21111,2016,12392,"Billmire, Marjorie F Farm Easement",Grant,1,06/30/2016 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Loyola University of Maryland,21210,2014,4675988,Sellinger Formula Aid,Grant,1,06/30/2014 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Center for Children, Inc.",20646,2018,58209.37,Internet Crimes Against Children,Grant,1,06/30/2018 12:00:00 AM
Department of Business & Economic Development/Maryland State Arts Council,Somerset County Arts Council,21817,2010,84721,"Grant funding for Community Arts Development, ARRA Grant",Grant,1,06/30/2010 12:00:00 AM
DEPARTMENT OF AGING/STATE NUTRITION,WASHINGTON COUNTY COMMISSION ON AGING,21740,2021,56537,NUTRITION,Grant,1,06/30/2021 12:00:00 AM
Maryland Technology Development Corporation/Fort Detrick Technology Transfer Initiative (FDTTI),CynerGene,21704,2009,50000,Support US Army Medical Technology Transfer,Grant,1,06/30/2009 12:00:00 AM
Chesapeake & Atlantic Coastal Bays Trust Fund,Sustainable Chesapeake,23223,2018,258644.55,"Funds implementation of non-point source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2018 12:00:00 AM
Maryland Energy Administration - Mathias Agriculture Energy Efficiency Program,Sarfraz Family Farm FY15,21874,2015,120000,Mathias Agriculture Energy Efficiency and renewable energy grants,Grant,1,06/30/2015 12:00:00 AM
Department of Natural Resources/RURAL LEGACY,"The Nature Conservancy (lead), The Conservation Fund",21625,2010,512434.23,Outten Family Farm Easement,Grant,1,06/30/2010 12:00:00 AM
Maryland State Department of Education/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,COLLEGE OF SOUTHERN MARYLAND,20646,2017,128519,Block Grant- Infant And Toddlers,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"Family Crisis Resource Center, Inc.",21502-2367,2011,4073.59,Crisis Intervention Project,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/Rural Maryland Council Grant,CECIL COUNTY GOVERNMENT,21921,2017,68522,Grants To Non-Gov Entities,Grant,1,06/30/2017 12:00:00 AM
Department of Housing and Community Development/Housing Counseling - State Funds,St Ambrose Housing Aid Center,21218,2011,55000,foreclosure/housing counseling activities,Grant,1,06/30/2011 12:00:00 AM
Judiciary/Mediation & Conflict Resolution Office,Conflict Resolution Center of Baltimore County,21234,2013,101214,"Community Mediation Performance-based funding at Level 3., and provide community conferencing services to the residents of Baltimore County.",Grant,1,06/30/2013 12:00:00 AM
Judiciary/Department of Family Administration,Key Bridge Foundation,20015,2017,100397,Diversion in delinquency cases,Grant,1,06/30/2017 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,CENTER STAGE ASSOCIATES INC,21202,2011,472239,Grants to Arts Organizations,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture - Conservation Grants,Clear Meadow Farm Partnership,21161 - 9331,2015,117435,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Boards and Commissions/Essential Victim Services,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)",21014,2014,229250.39,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2014 12:00:00 AM
Maryland Transit Administration/LOTS PREVENTIVE MAINTENAN/SECTION 5310 CAPITAL EQUI,ACTION IN MATURITY,21211,2017,8280,LOTS-OPERATING,Grant,1,06/30/2017 12:00:00 AM
Department of Human Resources/Local Child Welfare Services,"The Family Junction, Inc.",21502,2009,61941.7,"Funds are used for parenting intervention, crisis prevention, and parents in crisis.",Grant,1,06/30/2009 12:00:00 AM
Department of Business and Economic Development/Maryland Biotechnology Center,ZYMETIS INC,20742,2011,80000,Biotechnology Center Grant - Commercialization Grant,Grant,1,06/30/2011 12:00:00 AM
State Department of Education/Adult Continuing Education,Md Center For Arts & Technology Inc,21215,2009,80000,Md Center For Arts And Technology,Grant,1,06/30/2009 12:00:00 AM
Judiciary/Department of Family Administration,Women's Law Center,21204,2009,72650,Info & referrals for Pro Se Litigants,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Education/Food Services Program,LIFE INC,21230,2012,49185.55,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture - Conservation Grants,James R McGrath,21804,2015,59424.5,"NUTRIENT MGT. PLAN, COVER CROP",Grant,1,06/30/2015 12:00:00 AM
State Department of Education/Children at Risk,RESOURCE CTR FOR LANGUAGE & CULTURE,21250,2016,175537,21st Century Community Learning Centers,Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/MD AGRICULTURAL FAIR BOARD,GREAT FREDERICK FAIR,217050604,2016,71929,"OTHER GRANTS, SUBS & CONTRIB",Grant,1,06/30/2016 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Health Promotion Administration,MD Foundation of Dentistry for Handicapped,21045,2014,60000,Oral Health Grant,Grant,1,06/30/2014 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Center for Abused Persons,20601,2015,12420.65,Violence Against Women,Grant,1,06/30/2015 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,"Conflict Resolution Center of Montgomery County, Inc.",20814,2012,95000,Commmunity Mediation Performance-based funding at level 5.,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,JEREMY J WAGERMAN,21757,2016,99782.43,"OTHER GRANTS, SUBS & CONTRIBUTION",Grant,1,06/30/2016 12:00:00 AM
Department of Commerce/MD Small Business Development Financing Authority,SUPERIOR TECHNOLOGY SOLUTIONS CORP,21218,2016,497724.97,MSBDFA Contract Finance - Line of Credit,Loan,1,06/30/2016 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"For All Seasons, Inc.",21601,2015,17952.2,Violence Against Women,Grant,1,06/30/2015 12:00:00 AM
Department of Business and Economic Development/Nanotech Biotechnology Program,Bioactive Surgical,21042,2009,125000,Nano Bio Research,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,David N. Myers & Maria T. Myers,21776,2009,897933.86,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Governor's Office of Crime Control and Prevention,YWCA of Annapolis and Anne Arundel County,21012,2018,20082.05,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Education/Food Services Program,A BETTER DAY MEDICAL ADULT DAY CARE,21133,2012,3368.4,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department Of Business and Economic Development/MD State Arts Council  -,ARTS COUNCIL OF CALVERT CO,20678,2012,83466,Community Arts Development,Grant,1,06/30/2012 12:00:00 AM
Department of Aging/Senior Care,"Upper Shore Aging, Inc.",21620,2016,300000,Senior Care,Grant,1,06/30/2016 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","CASA Citizens Assisting and Sheltering the Abused, Inc.",21740,2016,13825,Community Sexual Assault Prevention and Awareness,Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"BUI, RANDY",21811,2009,34650,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/MANURE TRANSPORT,HOPEWELL AGRI-SERVICES LLC,21853,2014,187210.3,Manure Transport Program,Grant,1,06/30/2014 12:00:00 AM
Department of Health and Mental Hygiene/Office of Preparedness and Response,Johns Hopkins University Applied Physics Lab (APL),20723,2014,120000,To provide enhancements to DHMH ESSENCE,Grant,1,06/30/2014 12:00:00 AM
Department of Planning - MDP - Maryland Heritage Areas Authority,"Annapolis, London Town & South County Heritage Area, Inc.",21401,2015,50000,FY 2013 & FY 2015 MHAA Operating Assistance Grants - Support for operation costs and general overhead expenses to implement the approved heritage area management plan.,Grant,1,06/30/2015 12:00:00 AM
Department of Business and Economic Development - MD Biotechnology Center,Otomagnetics LLC,20852 - 1708,2015,80000,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2015 12:00:00 AM
