Cohort Year,Local School System,School,High School Graduates,Enrollment,% of High School Graduates Enrolled,College Degree by 25,% of Enrollees with College Degree by 25,No College Degree by 25,% of Enrollees with No College Degree by 25, Median Quarterly Wages at 25 for High School Grads , Median Quarterly Wages at 25 for College Enrollees , Median Quarterly Wages at 25 with a College Degree , Median Quarterly Wages at 25 with No College Degree , Living Wage LLS/ County ,,,,,,,,
2013-14,Baltimore County,BRIDGE CENTER,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,CATONSVILLE HIGH,354,184,52%,139,76%,45,25%," $8,107 "," $9,536 "," $10,150 "," $8,572 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,CATONSVILLE HIGH,426,235,55%,153,65%,82,35%," $8,271 "," $8,837 "," $10,755 "," $6,332 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,CATONSVILLE HIGH,388,220,57%,157,71%,63,29%," $8,467 "," $9,446 "," $10,996 "," $5,525 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,CATONSVILLE HIGH,421,201,48%,117,58%,84,42%," $8,187 "," $9,550 "," $10,744 "," $8,197 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,CATONSVILLE HIGH,412,223,54%,157,70%,66,30%," $9,065 "," $11,058 "," $12,795 "," $6,940 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,CATONSVILLE HIGH,449,213,47%,141,66%,72,34%," $8,573 "," $8,988 "," $12,234 "," $6,974 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,CATONSVILLE HIGH,426,222,52%,164,74%,58,26%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,CATONSVILLE HIGH,401,194,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,CATONSVILLE HIGH,412,211,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,CATONSVILLE HIGH,431,216,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,CATONSVILLE HIGH,439,247,56%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,CATONSVILLE HIGH,431,256,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,CATONSVILLE HIGH,413,201,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,CENTRAL EDLP AT LOCH RAVEN HIGH SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,CHESAPEAKE HIGH,199,45,23%,15,33%,30,67%," $6,761 "," $6,230 "," $6,654 "," $5,797 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,CHESAPEAKE HIGH,227,52,23%,12,23%,40,77%," $7,657 "," $7,433 ", * ," $6,638 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,CHESAPEAKE HIGH,233,63,27%,23,37%,40,64%," $7,441 "," $7,524 "," $8,040 "," $6,800 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,CHESAPEAKE HIGH,240,71,30%,33,47%,38,54%," $7,619 "," $9,593 "," $10,877 "," $7,729 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,CHESAPEAKE HIGH,259,69,27%,26,38%,43,62%," $8,074 "," $8,514 "," $9,824 "," $6,869 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,CHESAPEAKE HIGH,243,55,23%,19,35%,36,66%," $8,038 "," $11,928 ", * ," $8,955 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,CHESAPEAKE HIGH,234,72,31%,34,47%,38,53%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,CHESAPEAKE HIGH,219,42,19%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,CHESAPEAKE HIGH,230,65,28%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,CHESAPEAKE HIGH,224,58,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,CHESAPEAKE HIGH,216,51,24%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,CHESAPEAKE HIGH,214,71,33%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,CHESAPEAKE HIGH,223,57,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,CROSSROADS CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,DULANEY HIGH,496,330,67%,245,74%,85,26%," $8,392 "," $8,750 "," $10,152 "," $5,396 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,DULANEY HIGH,476,319,67%,239,75%,80,25%," $8,805 "," $9,458 "," $11,160 "," $6,182 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,DULANEY HIGH,442,318,72%,231,73%,87,27%," $8,200 "," $9,000 "," $11,366 "," $6,081 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,DULANEY HIGH,463,299,65%,224,75%,75,25%," $9,920 "," $12,154 "," $13,082 "," $6,985 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,DULANEY HIGH,446,284,64%,215,76%,69,24%," $8,728 "," $10,096 "," $11,537 "," $6,510 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,DULANEY HIGH,467,293,63%,223,76%,70,24%," $8,680 "," $11,531 "," $12,074 "," $7,449 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,DULANEY HIGH,433,305,70%,237,78%,68,22%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,DULANEY HIGH,433,270,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,DULANEY HIGH,469,292,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,DULANEY HIGH,487,321,66%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,DULANEY HIGH,411,282,69%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,DULANEY HIGH,439,297,68%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,DULANEY HIGH,458,283,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,DUNDALK HIGH,235,55,23%,21,38%,34,62%," $6,879 "," $8,021 "," $11,840 "," $5,763 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,DUNDALK HIGH,215,55,26%,22,40%,33,60%," $7,014 "," $6,937 "," $9,318 "," $6,231 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,DUNDALK HIGH,245,57,23%,21,37%,36,63%," $7,455 "," $8,067 "," $8,580 "," $6,443 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,DUNDALK HIGH,229,51,22%,18,35%,33,65%," $8,179 "," $8,644 "," $9,931 "," $8,219 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,DUNDALK HIGH,249,51,21%,17,33%,34,67%," $8,835 "," $8,753 "," $11,220 "," $8,428 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,DUNDALK HIGH,261,45,17%,15,33%,30,67%," $7,927 "," $10,009 ", * ," $8,830 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,DUNDALK HIGH,253,61,24%,30,49%,31,51%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,DUNDALK HIGH,266,51,19%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,DUNDALK HIGH,324,80,25%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,DUNDALK HIGH,308,75,24%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,DUNDALK HIGH,350,83,24%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,DUNDALK HIGH,328,91,28%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,DUNDALK HIGH,374,80,21%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,278,159,57%,116,73%,43,27%," $9,537 "," $10,052 "," $10,895 "," $8,509 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,313,198,63%,139,70%,59,30%," $9,980 "," $10,325 "," $11,033 "," $9,001 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,303,200,66%,146,73%,54,27%," $9,478 "," $10,899 "," $11,899 "," $7,473 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,272,161,59%,121,75%,40,25%," $10,447 "," $11,375 "," $12,253 "," $7,509 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,320,232,73%,179,77%,53,23%," $10,957 "," $11,952 "," $13,374 "," $6,480 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,335,225,67%,177,79%,48,21%," $11,324 "," $12,081 "," $12,400 "," $9,915 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,293,218,74%,163,75%,55,25%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,250,180,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,270,196,73%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,276,215,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,279,224,80%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,317,254,80%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,264,213,81%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,EXTENDED DAY LEARNING PROGRAM,89,*,*,*,*,*,*," $5,047 ", * , * , * ," $7,537 ",,,,,,,,
2008-09,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Baltimore County,EXTENDED DAY LEARNING PROGRAM,41,*,*,*,*,*,*," $5,925 ", * , * , * ," $7,782 ",,,,,,,,
2010-11,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,EXTENDED DAY LEARNING PROGRAM,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,FRANKLIN HIGH,373,219,59%,146,67%,73,33%," $8,396 "," $10,000 "," $12,564 "," $6,090 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,FRANKLIN HIGH,356,171,48%,117,68%,54,32%," $7,674 "," $9,846 "," $11,482 "," $6,757 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,FRANKLIN HIGH,368,229,62%,150,66%,79,35%," $8,404 "," $8,900 "," $11,257 "," $6,718 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,FRANKLIN HIGH,375,203,54%,134,66%,69,34%," $7,938 "," $8,903 "," $11,174 "," $7,241 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,FRANKLIN HIGH,374,203,54%,146,72%,57,28%," $9,155 "," $10,975 "," $12,120 "," $8,149 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,FRANKLIN HIGH,342,162,47%,113,70%,49,30%," $9,373 "," $11,369 "," $12,586 "," $8,861 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,FRANKLIN HIGH,358,206,58%,134,65%,72,35%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,FRANKLIN HIGH,384,176,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,FRANKLIN HIGH,372,188,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,FRANKLIN HIGH,376,187,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,FRANKLIN HIGH,385,192,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,FRANKLIN HIGH,333,177,53%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,FRANKLIN HIGH,395,207,52%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,148,96,65%,64,67%,32,33%," $6,827 "," $7,621 "," $8,765 "," $4,785 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,165,117,71%,79,68%,38,33%," $7,592 "," $8,120 "," $9,552 "," $5,710 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,190,132,70%,101,77%,31,24%," $7,940 "," $8,279 "," $8,874 "," $5,696 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,181,113,62%,87,77%,26,23%," $8,192 "," $8,271 "," $9,017 "," $4,712 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,168,110,66%,84,76%,26,24%," $8,621 "," $8,607 "," $8,621 "," $7,547 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,178,115,65%,83,72%,32,28%," $8,400 "," $9,352 "," $10,601 "," $6,925 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,198,146,74%,108,74%,38,26%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,190,136,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,211,151,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,199,155,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,213,166,78%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,210,159,76%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,217,147,68%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,HEREFORD HIGH,355,228,64%,157,69%,71,31%," $10,705 "," $11,667 "," $12,964 "," $7,580 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,HEREFORD HIGH,339,205,61%,158,77%,47,23%," $9,085 "," $9,691 "," $10,562 "," $7,083 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,HEREFORD HIGH,367,230,63%,178,77%,52,23%," $10,349 "," $10,625 "," $11,390 "," $8,514 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,HEREFORD HIGH,339,220,65%,168,76%,52,24%," $9,967 "," $10,519 "," $12,404 "," $5,911 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,HEREFORD HIGH,336,214,64%,175,82%,39,18%," $11,781 "," $12,555 "," $13,674 "," $8,031 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,HEREFORD HIGH,365,244,67%,194,80%,50,21%," $11,544 "," $11,985 "," $12,813 "," $9,485 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,HEREFORD HIGH,370,240,65%,198,83%,42,18%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,HEREFORD HIGH,301,194,65%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,HEREFORD HIGH,268,181,68%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,HEREFORD HIGH,314,229,73%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,HEREFORD HIGH,295,215,73%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,HEREFORD HIGH,297,206,69%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,HEREFORD HIGH,335,224,67%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,HOME TEACHING-MIDDLE/HIGH,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,416,130,31%,70,54%,60,46%," $8,261 "," $8,561 "," $9,687 "," $5,559 "," $7,537 ",,,,,,,,
2008-09,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,356,85,24%,32,38%,53,62%," $7,599 "," $7,883 "," $8,450 "," $7,861 "," $7,601 ",,,,,,,,
2009-10,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,365,75,21%,31,41%,44,59%," $7,237 "," $8,820 "," $9,041 "," $8,819 "," $7,782 ",,,,,,,,
2010-11,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,379,105,28%,52,50%,53,51%," $7,907 "," $7,983 "," $9,484 "," $6,901 "," $7,966 ",,,,,,,,
2011-12,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,379,86,23%,40,47%,46,54%," $8,228 "," $8,773 "," $11,183 "," $7,990 "," $8,114 ",,,,,,,,
2012-13,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,408,89,22%,47,53%,42,47%," $9,039 "," $9,204 "," $10,830 "," $8,221 "," $8,239 ",,,,,,,,
2013-14,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,363,78,22%,40,51%,38,49%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,412,90,22%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,393,87,22%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,378,86,23%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,312,95,30%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,359,99,28%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
